,이름,년도,팀,war,경기수,완봉,완투,선발,승,패,세이브,홀드,inning,실점,ERA,FIP,WHIP,ERA_plus,FIP_plus,자책,볼넷,홈런,삼진,연봉
53,장원준,11,롯,5.23,29.0,0.0,0.0,28.0,15.0,6.0,0.0,0.0,180.2,72.0,3.14,3.41,1.42,133.7,122.9,63.0,62.0,7.0,129.0,20000.0
54,양현종,18,K,5.23,29.0,3.0,0.0,29.0,13.0,11.0,0.0,0.0,184.1,88.0,4.15,4.38,1.31,123.7,117.9,85.0,43.0,21.0,152.0,230000.0
55,박명환,2,두,5.23,30.0,0.0,0.0,29.0,14.0,10.0,0.0,0.0,185.2,78.0,3.44,3.2,1.3,119.7,128.7,71.0,68.0,12.0,169.0,10000.0
56,김광현,14,S,5.2,28.0,1.0,0.0,28.0,13.0,9.0,0.0,0.0,173.2,77.0,3.42,4.37,1.49,149.2,118.8,66.0,81.0,10.0,145.0,27000.0
57,유먼,12,롯,5.14,29.0,2.0,1.0,28.0,13.0,7.0,0.0,1.0,179.2,58.0,2.55,3.2,1.18,150.0,119.8,51.0,56.0,10.0,142.0,0.0
58,밴헤켄,15,넥,5.12,32.0,0.0,0.0,32.0,15.0,8.0,0.0,0.0,196.2,92.0,3.62,3.6,1.31,137.7,137.6,79.0,67.0,14.0,193.0,65000.0
59,켈리,17,S,5.11,30.0,0.0,0.0,30.0,16.0,7.0,0.0,0.0,190.0,85.0,3.6,3.69,1.31,139.8,136.9,76.0,45.0,16.0,189.0,85000.0
60,신재영,16,넥,5.08,30.0,0.0,0.0,30.0,15.0,7.0,0.0,0.0,168.2,76.0,3.9,4.65,1.26,134.8,111.3,73.0,21.0,19.0,99.0,2700.0
61,주키치,11,L,5.08,32.0,1.0,1.0,31.0,10.0,8.0,1.0,0.0,187.2,86.0,3.6,3.05,1.21,114.0,134.6,75.0,53.0,9.0,150.0,0.0
62,레일리,17,롯,5.07,30.0,1.0,0.0,30.0,13.0,7.0,0.0,0.0,187.1,87.0,3.8,4.37,1.3,132.7,115.1,79.0,44.0,19.0,156.0,85000.0
63,니퍼트,14,두,5.03,30.0,1.0,0.0,28.0,14.0,7.0,0.0,1.0,179.1,83.0,3.81,4.23,1.31,129.7,118.7,76.0,48.0,17.0,158.0,38700.0
64,정민태,3,현,5.02,29.0,1.0,0.0,29.0,17.0,2.0,0.0,0.0,177.0,76.0,3.31,3.41,1.25,130.7,126.7,65.0,42.0,17.0,122.0,50000.0
65,봉중근,8,L,5.01,28.0,0.0,0.0,28.0,11.0,8.0,0.0,0.0,186.1,66.0,2.66,3.84,1.19,154.1,106.6,55.0,68.0,13.0,140.0,25000.0
66,권오준,4,삼,5.0,47.0,0.0,0.0,17.0,11.0,5.0,2.0,7.0,153.1,56.0,3.23,3.25,1.1,134.4,133.6,55.0,40.0,15.0,142.0,2400.0
67,양현종,14,K,4.99,29.0,0.0,0.0,29.0,16.0,8.0,0.0,0.0,171.1,85.0,4.25,4.24,1.4,122.7,125.1,81.0,77.0,12.0,165.0,12000.0
68,소사,18,L,4.97,27.0,1.0,1.0,27.0,9.0,9.0,0.0,0.0,181.1,83.0,3.52,3.5,1.21,143.2,143.3,71.0,28.0,16.0,181.0,120000.0
69,허프,17,L,4.95,19.0,2.0,0.0,17.0,6.0,4.0,0.0,0.0,124.2,37.0,2.38,3.28,0.91,203.1,148.5,33.0,14.0,7.0,98.0,900000.0
70,우규민,15,L,4.95,25.0,1.0,0.0,25.0,11.0,9.0,0.0,0.0,152.2,64.0,3.42,3.73,1.18,137.3,125.5,58.0,17.0,13.0,119.0,40000.0
71,양현종,9,K,4.92,29.0,0.0,0.0,24.0,12.0,5.0,0.0,1.0,148.2,55.0,3.15,3.75,1.29,149.8,125.7,52.0,58.0,14.0,139.0,3500.0
72,해커,16,N,4.88,23.0,0.0,0.0,23.0,13.0,3.0,0.0,0.0,140.2,57.0,3.45,4.27,1.16,147.3,120.5,54.0,31.0,14.0,119.0,60000.0
73,구톰슨,9,K,4.86,26.0,0.0,0.0,25.0,13.0,4.0,0.0,0.0,161.1,61.0,3.24,4.19,1.21,145.8,112.7,58.0,46.0,15.0,95.0,0.0
74,엘비라,2,삼,4.86,22.0,0.0,0.0,21.0,13.0,6.0,0.0,0.0,137.0,44.0,2.5,3.25,1.22,172.8,132.7,38.0,52.0,7.0,111.0,0.0
75,차우찬,10,삼,4.83,37.0,2.0,1.0,16.0,10.0,2.0,0.0,2.0,126.1,35.0,2.14,3.33,1.24,215.8,138.3,30.0,51.0,5.0,112.0,6270.0
76,리오스,5,K,4.81,32.0,3.0,0.0,32.0,15.0,12.0,0.0,0.0,205.1,88.0,3.51,3.93,1.27,118.0,106.9,80.0,57.0,20.0,147.0,0.0
77,박희수,12,S,4.8,65.0,0.0,0.0,0.0,8.0,1.0,6.0,34.0,82.0,12.0,1.32,2.18,0.96,289.3,175.0,12.0,27.0,2.0,93.0,7000.0
78,조용준,2,현,4.79,64.0,0.0,0.0,0.0,9.0,5.0,28.0,4.0,109.0,32.0,1.9,2.73,1.08,224.9,156.6,23.0,38.0,7.0,116.0,0.0
79,옥스프링,14,롯,4.79,32.0,0.0,0.0,31.0,10.0,8.0,0.0,0.0,184.1,93.0,4.2,4.95,1.34,129.8,107.8,86.0,63.0,20.0,130.0,25000.0
80,보우덴,16,두,4.78,30.0,1.0,1.0,30.0,18.0,7.0,0.0,0.0,180.0,83.0,3.8,4.24,1.18,134.5,118.3,76.0,54.0,17.0,160.0,65000.0
81,니퍼트,18,K,4.76,29.0,0.0,0.0,28.0,8.0,8.0,0.0,0.0,175.2,88.0,4.25,4.66,1.41,124.6,111.4,83.0,39.0,26.0,165.0,900000.0
82,키퍼,2,K,4.75,32.0,2.0,0.0,32.0,19.0,9.0,0.0,0.0,202.1,84.0,3.34,4.19,1.11,127.6,101.7,75.0,52.0,24.0,135.0,0.0
83,문동환,5,한,4.72,26.0,1.0,0.0,26.0,10.0,9.0,0.0,0.0,173.2,74.0,3.47,3.73,1.33,126.1,117.4,67.0,57.0,12.0,103.0,7500.0
84,봉중근,10,L,4.71,28.0,0.0,0.0,28.0,10.0,9.0,0.0,0.0,178.1,74.0,3.58,4.14,1.32,126.9,109.9,71.0,69.0,13.0,130.0,36000.0
85,이승호,3,L,4.71,31.0,1.0,1.0,30.0,11.0,11.0,0.0,0.0,191.2,76.0,3.19,3.98,1.33,130.1,104.4,68.0,103.0,17.0,157.0,9000.0
86,노장진,2,삼,4.7,63.0,0.0,0.0,1.0,11.0,5.0,23.0,1.0,127.1,38.0,2.54,3.42,1.19,169.5,126.2,36.0,54.0,15.0,146.0,9000.0
87,전병두,9,S,4.68,49.0,0.0,0.0,11.0,8.0,4.0,8.0,1.0,133.1,50.0,3.11,3.38,1.22,152.4,139.9,46.0,48.0,13.0,136.0,4500.0
88,박세웅,17,롯,4.67,28.0,0.0,0.0,28.0,12.0,6.0,0.0,0.0,171.1,74.0,3.68,5.07,1.32,137.0,99.3,70.0,56.0,21.0,117.0,10000.0
89,윤성환,14,삼,4.67,28.0,1.0,1.0,28.0,12.0,7.0,0.0,0.0,170.1,87.0,4.39,4.46,1.37,120.6,118.4,83.0,37.0,18.0,133.0,45000.0
90,랜들,6,두,4.67,30.0,2.0,2.0,30.0,16.0,8.0,0.0,0.0,192.1,66.0,2.95,3.2,1.19,121.3,111.7,63.0,58.0,14.0,142.0,0.0
91,루친스키,19,N,4.66,30.0,2.0,0.0,30.0,9.0,9.0,0.0,0.0,177.1,68.0,3.05,3.96,1.18,138.4,106.6,60.0,45.0,13.0,119.0,0.0
92,손민한,8,롯,4.65,26.0,1.0,0.0,26.0,12.0,4.0,0.0,0.0,179.0,66.0,2.97,3.75,1.25,135.8,107.5,59.0,40.0,12.0,80.0,40000.0
93,류현진,8,한,4.63,26.0,2.0,1.0,26.0,14.0,7.0,0.0,0.0,165.2,66.0,3.31,3.56,1.27,128.0,119.2,61.0,67.0,12.0,143.0,18000.0
94,손민한,6,롯,4.62,25.0,2.0,1.0,24.0,10.0,8.0,1.0,0.0,161.2,54.0,2.78,2.62,1.15,125.9,134.0,50.0,39.0,4.0,96.0,40000.0
95,김광현,9,S,4.62,21.0,1.0,0.0,21.0,12.0,2.0,0.0,0.0,138.1,46.0,2.8,4.1,1.26,169.1,115.4,43.0,53.0,14.0,112.0,13000.0
96,김선우,11,두,4.61,28.0,2.0,1.0,27.0,16.0,7.0,1.0,0.0,175.2,68.0,3.13,3.75,1.27,131.1,109.3,61.0,35.0,12.0,89.0,40000.0
97,양현종,17,K,4.6,31.0,1.0,0.0,31.0,20.0,6.0,0.0,0.0,193.1,88.0,3.44,3.94,1.31,144.2,126.7,74.0,45.0,17.0,158.0,150000.0
98,조정훈,9,롯,4.59,27.0,2.0,2.0,27.0,14.0,9.0,0.0,0.0,182.1,97.0,4.05,3.85,1.33,118.3,124.5,82.0,53.0,23.0,175.0,5500.0
99,윤성환,9,삼,4.58,30.0,2.0,0.0,28.0,14.0,5.0,0.0,0.0,166.2,83.0,4.32,3.89,1.18,113.0,125.5,80.0,34.0,19.0,131.0,11000.0
