,이름,년도,팀,war,경기수,완봉,완투,선발,승,패,세이브,홀드,inning,실점,ERA,FIP,WHIP,ERA_plus,FIP_plus,자책,볼넷,홈런,삼진,연봉
1710,김지용,18,L,0.36,48.0,0.0,0.0,0.0,5.0,6.0,1.0,13.0,47.0,30.0,5.36,5.45,1.3,94.1,90.3,28.0,9.0,10.0,42.0,9000.0
1711,김해님,7,한,0.36,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,1.93,4.05,1.21,208.5,99.4,3.0,5.0,1.0,7.0,8000.0
1712,송승준,18,롯,0.36,22.0,0.0,0.0,15.0,3.0,4.0,0.0,0.0,79.0,58.0,6.15,4.91,1.62,84.8,106.4,54.0,35.0,8.0,68.0,40000.0
1713,박세진,16,k,0.36,7.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,21.0,13.0,5.14,7.98,1.76,101.6,65.2,12.0,13.0,5.0,8.0,2700.0
1714,이재우,10,두,0.36,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,6.2,1.0,1.35,2.09,0.3,336.9,218.0,1.0,0.0,0.0,4.0,19000.0
1715,볼스테드,14,두,0.36,17.0,1.0,0.0,17.0,5.0,7.0,0.0,0.0,87.0,70.0,6.21,5.83,1.76,79.7,86.8,60.0,37.0,8.0,32.0,900000.0
1716,핸킨스,13,두,0.36,12.0,0.0,0.0,10.0,3.0,3.0,0.0,0.0,60.2,42.0,6.23,4.62,1.65,68.3,92.1,42.0,21.0,5.0,30.0,0.0
1717,노환수,8,히,0.36,51.0,0.0,0.0,0.0,1.0,3.0,1.0,8.0,26.2,16.0,4.39,3.97,1.46,96.6,106.6,13.0,9.0,2.0,17.0,3300.0
1718,윤영삼,18,넥,0.36,22.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,29.2,18.0,4.85,3.36,1.32,106.2,152.4,16.0,8.0,2.0,32.0,4500.0
1719,이대환,2,현,0.36,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,2.08,4.0,0.85,205.6,106.7,3.0,1.0,2.0,8.0,0.0
1720,신창호,14,K,0.36,27.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,38.0,29.0,6.16,5.2,1.68,84.8,101.9,26.0,24.0,3.0,33.0,3700.0
1721,김사율,8,롯,0.36,19.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,21.2,9.0,3.74,4.53,1.25,107.7,88.8,9.0,11.0,1.0,8.0,2400.0
1722,이현승,18,두,0.35,39.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,30.2,18.0,4.99,5.53,1.73,101.3,91.0,17.0,14.0,4.0,21.0,40000.0
1723,진야곱,8,두,0.35,33.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,32.1,19.0,4.45,4.32,1.45,91.9,94.7,16.0,20.0,1.0,19.0,0.0
1724,김정후,18,두,0.35,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.1,8.0,3.63,6.95,1.39,139.1,72.3,7.0,12.0,3.0,12.0,3500.0
1725,김동준,18,넥,0.35,33.0,0.0,0.0,3.0,2.0,2.0,2.0,1.0,47.2,33.0,6.04,6.43,1.66,85.3,79.0,32.0,18.0,10.0,36.0,4900.0
1726,김강률,13,두,0.35,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,8.0,3.2,4.87,1.78,132.8,87.3,7.0,17.0,1.0,17.0,5000.0
1727,이대환,13,K,0.35,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,7.0,4.11,3.35,1.57,104.5,128.2,7.0,7.0,0.0,12.0,3700.0
1728,심수창,6,L,0.35,29.0,0.0,0.0,24.0,10.0,9.0,0.0,0.0,135.2,73.0,4.38,4.79,1.47,80.9,74.0,66.0,52.0,17.0,56.0,3000.0
1729,정민혁,7,한,0.35,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.2,8.0,3.86,3.85,1.29,104.3,104.5,8.0,8.0,1.0,15.0,0.0
1730,김민,18,K,0.35,9.0,0.0,0.0,9.0,4.0,2.0,0.0,0.0,37.1,26.0,5.06,6.38,1.74,104.7,81.4,21.0,25.0,4.0,25.0,2700.0
1731,장원준,4,롯,0.35,33.0,1.0,0.0,16.0,3.0,8.0,0.0,1.0,84.2,55.0,5.63,5.52,1.67,75.8,77.3,53.0,57.0,8.0,36.0,0.0
1732,이영욱,7,S,0.35,26.0,0.0,0.0,10.0,3.0,3.0,0.0,1.0,59.2,35.0,4.83,4.69,1.51,78.9,81.2,32.0,20.0,6.0,24.0,5800.0
1733,이범준,11,L,0.35,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.0,3.91,3.71,1.39,104.8,110.4,10.0,11.0,0.0,12.0,3000.0
1734,정재원,17,한,0.35,14.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,21.0,12.0,3.43,5.16,1.62,146.7,97.3,8.0,11.0,0.0,9.0,4000.0
1735,진필중,4,L,0.35,34.0,0.0,0.0,1.0,0.0,4.0,15.0,0.0,32.2,22.0,5.23,3.65,1.87,80.2,114.9,19.0,12.0,3.0,23.0,40000.0
1736,김수경,12,넥,0.35,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.2,3.0,2.13,3.5,1.82,179.8,109.6,3.0,4.0,0.0,5.0,11500.0
1737,권혁,3,삼,0.35,23.0,0.0,0.0,4.0,3.0,2.0,0.0,2.0,39.1,26.0,5.26,4.69,1.55,82.9,93.0,23.0,21.0,5.0,26.0,2000.0
1738,봉중근,16,L,0.34,19.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,36.1,23.0,4.95,6.1,1.73,102.7,82.0,20.0,22.0,4.0,20.0,30000.0
1739,배민관,18,L,0.34,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,1.64,3.47,1.18,308.3,148.9,2.0,4.0,0.0,11.0,900000.0
1740,김태영,6,두,0.34,13.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,15.1,6.0,2.93,3.29,1.24,121.9,108.7,5.0,6.0,1.0,11.0,0.0
1741,김사율,18,K,0.34,29.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,45.1,32.0,5.76,6.46,1.46,92.0,80.3,29.0,10.0,12.0,35.0,900000.0
1742,김태한,2,S,0.34,47.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,31.0,21.0,5.23,3.87,1.42,80.5,108.6,18.0,10.0,3.0,21.0,8600.0
1743,김상수,12,넥,0.34,33.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,45.2,24.0,4.73,5.36,1.77,81.0,71.5,24.0,39.0,4.0,36.0,4800.0
1744,문광은,19,L,0.34,32.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,33.0,15.0,4.09,4.28,1.46,100.4,94.7,15.0,13.0,3.0,26.0,4500.0
1745,윤규진,7,한,0.34,8.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,13.2,6.0,3.95,2.9,1.39,101.8,138.5,6.0,7.0,0.0,10.0,4800.0
1746,박희수,10,S,0.34,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,9.0,4.58,4.25,1.7,99.2,107.0,9.0,7.0,2.0,15.0,2400.0
1747,신승현,13,K,0.34,55.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,51.2,35.0,4.88,4.97,1.63,88.0,86.3,28.0,35.0,5.0,55.0,5000.0
1748,오준형,9,K,0.34,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,20.0,5.4,5.02,1.57,87.3,93.9,18.0,10.0,4.0,18.0,2500.0
1749,고원준,16,롯,0.34,14.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,24.2,15.0,5.47,5.09,1.7,94.2,100.7,15.0,11.0,2.0,21.0,9000.0
1750,서진용,16,S,0.34,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.2,16.0,4.73,4.47,1.46,110.5,117.4,14.0,13.0,3.0,30.0,3000.0
1751,최채흥,19,삼,0.34,28.0,0.0,0.0,15.0,6.0,6.0,0.0,2.0,106.2,67.0,4.81,3.97,1.53,90.2,107.8,57.0,36.0,10.0,89.0,2700.0
1752,장원삼,17,삼,0.34,49.0,0.0,0.0,5.0,4.0,5.0,0.0,6.0,67.1,48.0,5.61,4.63,1.68,90.4,108.8,42.0,17.0,8.0,55.0,75000.0
1753,베로커,6,L,0.33,11.0,1.0,0.0,9.0,3.0,4.0,0.0,1.0,53.0,28.0,4.75,4.25,1.6,74.5,83.4,28.0,30.0,3.0,31.0,0.0
1754,한승혁,16,K,0.33,36.0,0.0,0.0,0.0,3.0,2.0,1.0,9.0,33.1,21.0,4.86,4.9,1.65,106.6,106.7,18.0,19.0,3.0,31.0,7000.0
1755,성영훈,10,두,0.33,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.1,10.0,4.96,3.1,1.41,91.7,146.6,9.0,4.0,0.0,12.0,2500.0
1756,박진우,15,N,0.33,11.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.1,5.0,3.14,4.03,1.47,152.6,121.0,5.0,2.0,1.0,8.0,2700.0
1757,매그레인,11,S,0.33,16.0,0.0,0.0,14.0,2.0,6.0,0.0,0.0,53.2,32.0,5.37,5.24,1.53,76.5,78.3,32.0,19.0,9.0,38.0,0.0
1758,노승욱,2,롯,0.33,19.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,35.1,21.0,5.35,4.98,1.39,78.7,84.4,21.0,11.0,5.0,23.0,1800.0
1759,김선규,16,N,0.33,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.1,6.0,2.93,5.62,1.83,173.5,92.2,5.0,8.0,1.0,6.0,6000.0
1760,차바치,5,S,0.33,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,1.0,3.57,1.44,413.0,115.7,1.0,5.0,0.0,5.0,0.0
1761,조태수,3,K,0.33,18.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,25.1,13.0,3.91,5.01,1.38,109.6,85.5,11.0,14.0,3.0,12.0,0.0
1762,허준혁,16,두,0.33,28.0,0.0,0.0,15.0,4.0,7.0,0.0,0.0,89.1,61.0,5.64,6.56,1.62,90.6,75.5,56.0,39.0,17.0,56.0,7500.0
1763,조영민,4,한,0.32,25.0,0.0,0.0,0.0,1.0,5.0,8.0,0.0,33.1,18.0,4.05,5.41,1.23,108.8,81.5,15.0,10.0,6.0,19.0,0.0
1764,카브레라,5,S,0.32,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.1,1.0,1.42,3.17,0.63,290.6,130.2,1.0,0.0,1.0,6.0,0.0
1765,조태수,11,K,0.32,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,16.0,4.97,4.81,1.38,83.2,85.9,16.0,9.0,4.0,16.0,3800.0
1766,페트릭,17,삼,0.32,25.0,0.0,0.0,24.0,3.0,10.0,0.0,0.0,134.0,95.0,6.18,5.46,1.69,82.1,92.3,92.0,52.0,18.0,87.0,900000.0
1767,김진성,13,N,0.32,33.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,34.0,20.0,4.76,5.29,1.44,90.2,81.2,18.0,17.0,5.0,28.0,3300.0
1768,김이슬,8,롯,0.32,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,3.02,0.63,0.0,133.2,0.0,1.0,0.0,5.0,2100.0
1769,박정배,16,S,0.32,49.0,0.0,0.0,0.0,2.0,3.0,2.0,11.0,51.2,34.0,5.4,5.4,1.39,96.7,97.1,31.0,17.0,6.0,26.0,8000.0
1770,연지,9,한,0.32,12.0,0.0,0.0,11.0,1.0,7.0,0.0,0.0,61.1,49.0,7.04,5.54,1.76,69.5,88.4,48.0,27.0,13.0,56.0,0.0
1771,차명주,5,한,0.32,77.0,0.0,0.0,0.0,4.0,1.0,0.0,12.0,33.2,23.0,5.88,4.32,1.63,74.5,101.3,22.0,9.0,3.0,17.0,9000.0
1772,김효남,10,삼,0.32,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,15.0,4.13,4.79,1.54,111.8,96.4,11.0,13.0,2.0,16.0,2600.0
1773,박진철,2,K,0.32,7.0,0.0,0.0,6.0,1.0,3.0,0.0,0.0,27.0,15.0,4.0,5.0,1.15,106.5,85.1,12.0,10.0,2.0,7.0,5100.0
1775,한희,9,L,0.32,26.0,0.0,0.0,9.0,1.0,4.0,0.0,0.0,66.2,48.0,6.35,6.05,1.65,75.1,78.7,47.0,36.0,11.0,45.0,0.0
1776,김상수,10,넥,0.32,17.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,45.0,33.0,6.2,5.04,1.73,73.3,90.2,31.0,26.0,5.0,35.0,2200.0
1777,허준혁,12,롯,0.32,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,3.36,0.78,0.0,113.9,0.0,2.0,0.0,2.0,4500.0
1778,이동걸,15,한,0.32,32.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,44.1,28.0,4.47,6.8,1.94,111.5,72.5,22.0,28.0,8.0,25.0,5200.0
1779,최상덕,5,K,0.32,24.0,0.0,0.0,11.0,1.0,5.0,2.0,2.0,61.1,44.0,6.02,4.66,1.55,70.7,91.2,41.0,24.0,8.0,48.0,14000.0
1780,주형광,7,롯,0.31,33.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,21.2,10.0,4.15,4.08,1.39,92.1,93.8,10.0,6.0,3.0,12.0,15000.0
1781,이대환,11,L,0.31,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.1,12.0,5.06,3.85,1.45,81.0,106.6,12.0,6.0,2.0,15.0,3500.0
1782,오주원,14,넥,0.31,21.0,0.0,0.0,14.0,5.0,6.0,0.0,0.0,74.0,59.0,6.45,6.94,1.78,81.8,77.7,53.0,33.0,14.0,31.0,0.0
1783,강승현,17,한,0.31,31.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,38.1,26.0,5.87,4.18,1.49,85.7,121.2,25.0,15.0,4.0,40.0,2900.0
1784,엄정욱,3,S,0.31,16.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,25.0,16.0,5.4,3.88,1.44,77.2,107.5,15.0,17.0,2.0,29.0,2200.0
1785,장민재,10,한,0.31,13.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16.1,8.0,4.41,4.7,1.29,104.8,98.4,8.0,5.0,1.0,4.0,0.0
1786,박지철,2,롯,0.31,5.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,24.2,14.0,5.11,4.7,1.34,82.4,89.4,14.0,8.0,4.0,20.0,9400.0
1787,이명우,10,롯,0.31,6.0,0.0,0.0,6.0,1.0,3.0,0.0,0.0,33.1,25.0,6.75,4.49,1.74,68.5,103.1,25.0,8.0,4.0,18.0,3800.0
1788,박만채,5,L,0.31,13.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,30.1,20.0,5.34,4.2,1.91,78.0,99.1,18.0,11.0,3.0,21.0,2800.0
1789,최영환,14,한,0.31,50.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,64.2,54.0,7.1,6.55,1.84,76.4,80.6,51.0,43.0,9.0,42.0,2400.0
1790,가득염,6,롯,0.31,63.0,0.0,0.0,0.0,3.0,3.0,0.0,11.0,26.2,15.0,5.06,3.53,1.39,69.2,99.4,15.0,14.0,2.0,20.0,8000.0
1791,송신영,16,한,0.31,11.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,14.1,8.0,5.02,4.35,1.81,104.5,120.2,8.0,2.0,1.0,7.0,19000.0
1792,이동현,4,K,0.31,23.0,0.0,0.0,13.0,1.0,6.0,0.0,0.0,56.1,42.0,6.23,4.78,1.69,70.1,91.4,39.0,29.0,7.0,42.0,6400.0
1793,김병준,2,한,0.31,15.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,26.1,19.0,6.15,3.72,1.56,70.7,116.8,18.0,7.0,2.0,17.0,2400.0
1794,조무근,19,롯,0.31,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,2.0,1.86,4.85,1.14,225.2,85.3,2.0,5.0,0.0,5.0,900000.0
1795,여건욱,18,L,0.3,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.2,13.0,4.76,4.54,1.54,105.9,112.5,12.0,8.0,1.0,15.0,4000.0
1796,신주영,11,한,0.3,42.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,35.0,27.0,6.43,3.33,1.77,65.0,125.3,25.0,12.0,1.0,22.0,2400.0
1797,이승현,17,삼,0.3,30.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,31.2,21.0,5.12,8.03,1.83,99.2,63.2,18.0,22.0,9.0,25.0,6200.0
1798,서승화,3,L,0.3,46.0,0.0,0.0,9.0,0.0,5.0,0.0,3.0,82.1,58.0,5.57,4.97,1.73,74.5,83.6,51.0,46.0,11.0,51.0,2500.0
1799,이재영,5,두,0.3,16.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,22.1,10.0,4.03,5.03,1.57,102.7,82.3,10.0,11.0,4.0,20.0,7000.0
1800,윤근영,13,한,0.3,49.0,0.0,0.0,8.0,2.0,5.0,0.0,5.0,72.0,50.0,6.25,5.27,1.79,69.4,82.4,50.0,45.0,6.0,45.0,4600.0
1801,김지용,17,L,0.3,53.0,0.0,0.0,0.0,4.0,3.0,3.0,8.0,53.0,33.0,5.09,6.3,1.38,95.0,74.8,30.0,14.0,13.0,39.0,10000.0
1802,문용민,3,한,0.3,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,3.0,2.19,4.71,1.46,198.3,92.3,3.0,11.0,0.0,3.0,0.0
1803,서균,17,한,0.3,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,7.0,4.4,5.41,1.4,114.4,93.6,7.0,3.0,2.0,10.0,2700.0
1804,로위,16,k,0.3,14.0,0.0,0.0,13.0,3.0,6.0,0.0,0.0,60.0,46.0,6.3,5.03,1.88,82.9,104.3,42.0,39.0,6.0,68.0,900000.0
1805,김사율,16,k,0.3,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,30.1,20.0,5.34,5.41,1.52,97.8,97.2,18.0,17.0,4.0,27.0,20000.0
1806,김장백,2,한,0.3,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.2,1.0,1.17,3.13,1.57,370.3,138.8,1.0,3.0,0.0,4.0,2500.0
1807,주권,17,k,0.3,39.0,0.0,0.0,12.0,5.0,6.0,1.0,3.0,81.2,64.0,6.61,6.33,1.62,76.7,78.7,60.0,31.0,15.0,47.0,7500.0
1808,여건욱,19,L,0.3,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,14.0,3.94,3.57,1.45,104.1,114.0,13.0,8.0,2.0,24.0,4000.0
1809,정민태,5,현,0.3,8.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,26.2,19.0,4.73,3.8,1.5,90.8,112.8,14.0,6.0,2.0,13.0,55500.0
1810,원용묵,7,두,0.3,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,3.0,1.59,3.27,1.41,243.6,118.2,2.0,6.0,0.0,8.0,2000.0
1811,강지광,19,S,0.3,25.0,0.0,0.0,0.0,2.0,4.0,0.0,6.0,27.1,14.0,3.95,3.4,1.28,107.7,122.9,12.0,11.0,0.0,15.0,3000.0
1812,김용주,15,한,0.3,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,3.0,3.38,5.12,1.25,147.6,95.8,3.0,6.0,0.0,3.0,3000.0
1813,김현우,13,삼,0.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,3.46,3.96,1.31,123.7,108.1,5.0,6.0,2.0,18.0,2500.0
1814,최성훈,17,L,0.3,32.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,22.0,12.0,4.09,5.37,1.64,118.3,90.3,10.0,11.0,2.0,16.0,4500.0
1816,박석진,7,롯,0.3,27.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,31.0,19.0,4.35,3.96,1.23,89.2,97.5,15.0,6.0,1.0,7.0,15000.0
1817,김민범,4,현,0.29,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,3.47,1.04,0.0,124.8,0.0,4.0,0.0,4.0,2800.0
1818,최성민,11,L,0.29,18.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,21.1,8.0,3.38,5.44,1.92,121.5,75.4,8.0,23.0,0.0,12.0,3500.0
1819,홍상삼,10,두,0.29,30.0,0.0,0.0,14.0,4.0,3.0,0.0,1.0,96.2,74.0,6.42,5.47,1.56,70.8,83.1,69.0,49.0,17.0,86.0,5700.0
1820,이성민,13,N,0.29,40.0,0.0,0.0,3.0,3.0,4.0,0.0,4.0,57.2,35.0,5.15,5.78,1.6,83.4,74.4,33.0,27.0,8.0,33.0,0.0
1821,배재환,16,N,0.29,11.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,22.0,11.0,4.09,4.25,1.18,124.4,121.6,10.0,9.0,1.0,15.0,2700.0
1822,오상민,2,삼,0.29,54.0,1.0,0.0,3.0,2.0,3.0,3.0,2.0,64.0,46.0,5.48,5.0,1.34,78.6,86.2,39.0,13.0,13.0,43.0,9000.0
1823,임창민,19,N,0.29,20.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,15.0,6.0,2.4,4.54,1.47,175.6,92.8,4.0,8.0,1.0,10.0,25000.0
1824,강영식,5,삼,0.29,60.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,31.2,18.0,4.83,5.16,1.67,88.1,82.4,17.0,27.0,4.0,37.0,4700.0
1825,권명철,4,두,0.29,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.1,5.0,3.65,3.92,1.22,114.8,106.8,5.0,6.0,0.0,6.0,5300.0
1826,홍성용,16,k,0.29,67.0,0.0,0.0,0.0,2.0,2.0,2.0,12.0,46.1,32.0,6.02,6.1,1.84,86.8,85.4,31.0,19.0,8.0,33.0,7000.0
1827,전인환,16,L,0.29,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,4.11,1.11,0.0,126.3,0.0,3.0,0.0,5.0,2700.0
1828,민경수,6,L,0.29,33.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,16.1,6.0,2.76,4.17,1.59,128.6,85.0,5.0,12.0,1.0,14.0,3800.0
1829,이대환,4,현,0.29,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.2,12.0,4.98,4.75,1.48,86.9,91.2,12.0,13.0,2.0,13.0,2700.0
1830,이한진,6,S,0.29,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,9.0,2.84,3.76,1.37,123.7,93.6,6.0,4.0,2.0,9.0,0.0
1831,임준섭,13,K,0.29,36.0,0.0,0.0,18.0,4.0,8.0,0.0,2.0,105.0,66.0,5.23,5.68,1.74,82.1,75.5,61.0,67.0,10.0,55.0,2500.0
1832,임정호,17,N,0.29,59.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,30.1,19.0,4.45,4.43,1.45,111.5,112.7,15.0,14.0,3.0,33.0,8700.0
1833,조영민,6,S,0.29,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,8.0,3.6,4.5,1.45,97.7,78.1,8.0,16.0,0.0,9.0,3900.0
1834,윤근영,15,k,0.28,17.0,0.0,0.0,7.0,1.0,4.0,0.0,2.0,32.0,23.0,5.63,5.87,1.75,89.3,84.0,20.0,21.0,3.0,21.0,6200.0
1835,백인식,15,S,0.28,7.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,20.2,13.0,4.79,5.41,1.69,100.8,89.8,11.0,11.0,2.0,14.0,3800.0
1836,김덕윤,4,삼,0.28,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,13.0,3.27,4.77,1.36,132.6,91.0,8.0,9.0,3.0,16.0,2000.0
1837,오상민,7,삼,0.28,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.1,1.0,1.23,2.29,1.36,319.4,171.5,1.0,2.0,0.0,5.0,15000.0
1838,하준호,19,K,0.28,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.13,3.78,1.0,367.9,108.1,1.0,4.0,1.0,11.0,5700.0
1839,오상민,6,삼,0.28,49.0,0.0,0.0,0.0,1.0,2.0,0.0,16.0,31.2,18.0,4.55,4.03,1.2,79.6,89.8,16.0,8.0,4.0,23.0,12000.0
1840,박근홍,13,삼,0.28,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,7.0,5.25,2.18,1.42,81.6,196.3,7.0,4.0,0.0,13.0,2700.0
1841,김건한,12,K,0.28,31.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,23.0,5.29,3.87,1.65,72.1,98.2,20.0,15.0,2.0,27.0,0.0
1842,이혜천,4,두,0.28,79.0,0.0,0.0,2.0,2.0,2.0,1.0,12.0,52.0,35.0,5.88,4.81,1.6,71.2,87.0,34.0,31.0,5.0,35.0,9000.0
1843,윤수호,17,N,0.28,40.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,47.0,31.0,5.36,4.95,1.51,92.6,101.0,28.0,30.0,3.0,42.0,2700.0
1844,조상우,18,넥,0.28,18.0,0.0,0.0,0.0,1.0,2.0,9.0,0.0,19.0,11.0,3.79,3.36,1.16,136.0,152.7,8.0,6.0,1.0,23.0,12000.0
1845,임태훈,11,두,0.28,19.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,19.0,8.0,3.79,4.82,1.21,108.1,84.9,8.0,7.0,3.0,13.0,15500.0
1846,노진용,9,L,0.28,16.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,26.1,15.0,5.13,6.07,1.86,92.9,78.5,15.0,15.0,3.0,10.0,0.0
1847,고창성,13,N,0.28,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.2,12.0,4.79,4.56,1.89,89.7,94.3,11.0,12.0,0.0,13.0,8500.0
1848,경헌호,4,L,0.28,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.2,2.0,1.04,3.64,0.69,404.2,115.3,1.0,1.0,1.0,5.0,6500.0
1849,김경선,8,한,0.28,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,4.15,3.46,1.31,102.1,122.7,6.0,5.0,0.0,7.0,2300.0
1850,정찬헌,16,L,0.28,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.38,4.29,1.25,150.7,120.8,3.0,3.0,0.0,4.0,5100.0
1851,가득염,10,S,0.28,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.1,9.0,4.41,4.45,1.47,103.2,102.2,8.0,10.0,1.0,12.0,9500.0
1852,임준혁,14,K,0.28,30.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,32.0,24.0,5.06,5.79,1.63,103.1,91.3,18.0,18.0,3.0,17.0,4300.0
1853,이현호,18,두,0.27,15.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,28.0,19.0,6.11,5.55,1.79,82.8,90.4,19.0,13.0,4.0,23.0,5200.0
1854,강장산,17,N,0.27,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,17.0,5.47,6.17,1.6,92.0,81.0,16.0,15.0,3.0,16.0,3000.0
1855,윤근영,14,한,0.27,36.0,0.0,0.0,1.0,2.0,3.0,0.0,5.0,49.0,41.0,7.16,6.08,1.92,75.7,86.9,39.0,23.0,6.0,28.0,5700.0
